Gen	K_5
NSL15405	Pop1
NSL174429	Pop2
NSL197104	Mixed
NSL197105	Mixed
NSL197106	Mixed
NSL22628	Mixed
NSL22630	Mixed
NSL22631	Mixed
NSL22632	Mixed
NSL22633	Mixed
NSL22634	Mixed
NSL22635	Mixed
NSL22983	Mixed
NSL22984	Mixed
NSL242483	Pop5
NSL243016	Pop2
NSL246151	Mixed
NSL247287	Mixed
NSL250298	Mixed
NSL250299	Mixed
NSL28965	Mixed
NSL28967	Pop5
NSL28968	Mixed
NSL29282	Pop5
NSL29284	Pop5
NSL29285	Pop5
NSL29286	Pop5
NSL29287	Mixed
NSL29289	Mixed
NSL29303	Pop5
NSL29304	Pop5
NSL29305	Pop5
NSL29314	Pop5
NSL29316	Pop5
NSL29317	Pop5
NSL29319	Pop5
NSL29898	Pop5
NSL30046	Pop5
NSL30054	Pop5
NSL30055	Pop5
NSL30056	Mixed
NSL30060	Mixed
NSL30063	Pop5
NSL30064	Pop5
NSL30065	Mixed
NSL30066	Mixed
NSL30067	Pop5
NSL30068	Pop5
NSL30070	Pop5
NSL30071	Pop5
NSL30072	Mixed
NSL30073	Pop5
NSL30074	Pop5
NSL30835	Pop5
NSL30861	Pop5
NSL30862	Mixed
NSL30863	Mixed
NSL30864	Pop5
NSL30865	Pop5
NSL30866	Pop5
NSL30868	Mixed
NSL30869	Mixed
NSL30871	Mixed
NSL30872	Pop5
NSL30873	Pop5
NSL30874	Pop5
NSL30875	Pop5
NSL30876	Mixed
NSL30877	Pop5
NSL30878	Pop5
NSL30879	Pop5
NSL30883	Pop5
NSL30884	Mixed
NSL30885	Pop5
NSL30888	Pop5
NSL30889	Pop5
NSL30890	Pop5
NSL30895	Pop5
NSL30896	Pop5
NSL30898	Pop5
NSL30901	Pop5
NSL30902	Mixed
NSL30903	Mixed
NSL30905	Mixed
NSL30906	Mixed
NSL30907	Pop5
NSL30908	Mixed
NSL30909	Pop5
NSL30910	Pop5
NSL30911	Mixed
NSL30912	Pop5
NSL30913	Pop2
NSL32718	Pop1
NSL32719	Mixed
NSL32720	Pop1
NSL32721	Mixed
NSL32722	Mixed
NSL32723	Mixed
NSL32725	Mixed
NSL32726	Mixed
NSL32727	Mixed
NSL32728	Mixed
NSL32729	Pop5
NSL32730	Mixed
NSL32731	Mixed
NSL32732	Mixed
NSL32733	Pop5
NSL32734	Mixed
NSL32735	Mixed
NSL32736	Mixed
NSL32738	Mixed
NSL32739	Pop5
NSL34374	Pop5
NSL42804	Pop5
NSL42805	Pop1
NSL42806	Pop1
NSL42807	Pop1
NSL42808	Pop1
NSL42872	Mixed
NSL42873	Mixed
NSL42874	Mixed
NSL42875	Pop5
NSL42877	Pop5
NSL42878	Mixed
NSL43597	Mixed
NSL437871	Mixed
NSL437877	Mixed
NSL437878	Mixed
NSL437879	Mixed
NSL437882	Mixed
NSL437884	Mixed
NSL437890	Mixed
NSL437891	Mixed
NSL437893	Mixed
NSL437895	Mixed
NSL437896	Mixed
NSL437897	Mixed
NSL437899	Mixed
NSL437903	Pop5
NSL437905	Pop2
NSL437907	Pop2
NSL437908	Mixed
NSL437909	Pop2
NSL437910	Pop2
NSL437913	Pop2
NSL437914	Pop2
NSL437915	Pop5
NSL437920	Pop5
NSL437923	Pop5
NSL437925	Pop5
NSL437928	Mixed
NSL437929	Mixed
NSL437930	Pop2
NSL437931	Mixed
NSL437932	Mixed
NSL437933	Pop5
NSL437934	Mixed
NSL437935	Pop5
NSL437936	Pop5
NSL437937	Mixed
NSL437939	Mixed
NSL437940	Mixed
NSL437943	Mixed
NSL437945	Mixed
NSL437946	Mixed
NSL437947	Mixed
NSL437948	Mixed
NSL437950	Mixed
NSL437952	Mixed
NSL437956	Pop3
NSL437959	Mixed
NSL437960	Pop5
NSL437962	Mixed
NSL437964	Mixed
NSL437966	Pop5
NSL437967	Pop5
NSL437968	Mixed
NSL437971	Pop5
NSL437972	Pop5
NSL437973	Pop5
NSL437976	Pop5
NSL437979	Pop5
NSL437980	Pop5
NSL437981	Pop5
NSL437982	Pop5
NSL437983	Pop5
NSL437987	Pop5
NSL437988	Pop2
NSL437989	Pop2
NSL437990	Pop2
NSL437992	Pop2
NSL437993	Pop2
NSL437994	Pop2
NSL437995	Pop2
NSL437996	Pop2
NSL437998	Pop5
NSL438002	Mixed
NSL438005	Mixed
NSL438007	Mixed
NSL438008	Mixed
NSL438009	Mixed
NSL438010	Mixed
NSL438013	Mixed
NSL438019	Mixed
NSL438021	Pop5
NSL438022	Pop5
NSL438023	Pop5
NSL438029	Pop5
NSL438030	Pop2
NSL438031	Pop5
NSL438032	Pop5
NSL438033	Pop2
NSL438034	Pop2
NSL438036	Pop5
NSL438037	Mixed
NSL438038	Mixed
NSL438039	Mixed
NSL438040	Mixed
NSL438041	Mixed
NSL438042	Mixed
NSL438043	Mixed
NSL52605	Mixed
NSL53081	Mixed
NSL53082	Mixed
NSL53086	Mixed
NSL53087	Mixed
NSL53089	Mixed
NSL53091	Mixed
NSL53092	Mixed
NSL53093	Mixed
NSL53096	Mixed
NSL53098	Mixed
NSL65862	Pop5
NSL65863	Pop5
NSL65864	Mixed
NSL65866	Pop2
NSL65868	Mixed
NSL65869	Mixed
NSL65872	Mixed
NSL67786	Mixed
NSL67788	Pop5
NSL67789	Mixed
NSL67790	Pop5
NSL67792	Pop5
NSL67793	Mixed
NSL67796	Mixed
NSL67797	Mixed
NSL67798	Mixed
NSL67799	Pop5
NSL68211	Mixed
NSL68244	Mixed
NSL68245	Mixed
NSL75970	Mixed
NSL75971	Mixed
NSL75976	Mixed
NSL75977	Pop4
NSL75980	Pop4
NSL81595	Pop5
NSL81596	Pop5
NSL81597	Pop1
NSL81598	Pop5
NSL81600	Pop5
NSL8579	Mixed
NSL8581	Mixed
NSL8582	Pop1
NSL8583	Pop1
NSL91618	Mixed
OH40B	Pop5
OH43	Pop5
OH43E	Pop5
OH603	Mixed
OH7B	Pop5
OS420	Pop5
P39	Pop1
PA762	Pop5
PA875	Mixed
PA880	Mixed
PA91	Pop5
PI186182	Mixed
PI186183	Pop3
PI186184	Mixed
PI186185	Pop3
PI186187	Pop3
PI186188	Pop3
PI186190	Pop3
PI186191	Pop3
PI186192	Mixed
PI186193	Pop3
PI186195	Mixed
PI186196	Mixed
PI186197	Mixed
PI186198	Mixed
PI186199	Mixed
PI186215	Pop3
PI186216	Pop3
PI186217	Pop3
PI186218	Pop3
PI186219	Pop3
PI186220	Pop3
PI186221	Pop3
PI186223	Pop3
PI186224	Pop3
PI186226	Pop3
PI186227	Pop3
PI186228	Pop3
PI186229	Pop3
PI186230	Mixed
PI186231	Mixed
PI198888	Pop3
PI198889	Mixed
PI198890	Pop3
PI198892	Mixed
PI198893	Pop3
PI198894	Pop3
PI198895	Pop3
PI198896	Mixed
PI198897	Mixed
PI198901	Pop3
PI198902	Pop3
PI198903	Pop3
PI198904	Pop3
PI198905	Pop3
PI198906	Mixed
PI200179	Mixed
PI200180	Mixed
PI200181	Mixed
PI200182	Mixed
PI200184	Mixed
PI200185	Mixed
PI200187	Mixed
PI200188	Mixed
PI200189	Mixed
PI200191	Mixed
PI200192	Mixed
PI200193	Mixed
PI200194	Mixed
PI200195	Mixed
PI200196	Mixed
PI221733	Mixed
PI221734	Mixed
PI221735	Mixed
PI221736	Mixed
PI221737	Mixed
PI221738	Mixed
PI221739	Mixed
PI221741	Mixed
PI221743	Mixed
PI221747	Mixed
PI221749	Mixed
PI221750	Mixed
PI221773	Mixed
PI221775	Mixed
PI221785	Mixed
PI221788	Mixed
PI221789	Mixed
PI221790	Mixed
PI221794	Mixed
PI221797	Mixed
PI221804	Mixed
PI221805	Pop3
PI221806	Mixed
PI221811	Pop3
PI221813	Pop3
PI221817	Mixed
PI221820	Mixed
PI221821	Mixed
PI221822	Mixed
PI233312	Pop1
PI233313	Pop1
PI233314	Pop1
PI233315	Pop1
PI233316	Pop5
PI233317	Pop1
PI233318	Pop1
PI233319	Pop1
PI233320	Pop1
PI233321	Pop1
PI233322	Pop1
PI233323	Pop1
PI236997	Mixed
PI257506	Mixed
PI257508	Mixed
PI257511	Mixed
PI257512	Mixed
PI257513	Mixed
PI257514	Mixed
PI257515	Mixed
PI257516	Mixed
PI257517	Mixed
PI267164	Mixed
PI267165	Mixed
PI267166	Mixed
PI267167	Mixed
PI267168	Mixed
PI267169	Pop1
PI267170	Mixed
PI267171	Mixed
PI270297	Pop3
PI303924	Mixed
PI303925	Mixed
PI303926	Mixed
PI303927	Mixed
PI303928	Mixed
PI303929	Mixed
PI303930	Mixed
PI303932	Mixed
PI303933	Mixed
PI303935	Mixed
PI303936	Pop3
PI303937	Pop3
PI303938	Mixed
PI303939	Pop3
PI303940	Pop3
PI303941	Mixed
PI303942	Pop3
PI303943	Mixed
PI303944	Pop3
PI340812	Mixed
PI340813	Pop5
PI340817	Pop1
PI340818	Pop1
PI340819	Pop1
PI340820	Mixed
PI340821	Mixed
PI340822	Pop1
PI340823	Pop1
PI340824	Mixed
PI340825	Mixed
PI340826	Mixed
PI340827	Mixed
PI340829	Mixed
PI340830	Mixed
PI340835	Pop4
PI340836	Mixed
PI340837	Pop4
PI340838	Mixed
PI340839	Mixed
PI340841	Pop4
PI340842	Pop4
PI340843	Pop4
PI340844	Pop4
PI340845	Pop4
PI340846	Pop4
PI340847	Pop4
PI340850	Pop4
PI340851	Pop4
PI340853	Pop4
PI340854	Pop4
PI340855	Pop4
PI340856	Pop4
PI340857	Pop4
PI340858	Pop4
PI340859	Pop4
PI340860	Mixed
PI340861	Pop4
PI340862	Mixed
PI340863	Mixed
PI340865	Mixed
PI340866	Pop4
PI340867	Mixed
PI340868	Pop4
PI340869	Mixed
PI340870	Mixed
PI340871	Mixed
PI340872	Mixed
PI340873	Mixed
PI340874	Mixed
PI340875	Mixed
PI340876	Pop4
PI340877	Mixed
PI340878	Mixed
PI343952	Pop1
PI343953	Pop5
PI358521	Pop1
PI358522	Pop1
PI358523	Pop1
PI358524	Pop1
PI358525	Pop1
PI358526	Mixed
PI358527	Pop1
PI358528	Pop1
PI358529	Pop1
PI358530	Mixed
PI358531	Pop1
PI358532	Mixed
PI358533	Pop1
PI358534	Pop1
PI358535	Pop1
PI358536	Pop1
PI358537	Pop1
PI358538	Pop1
PI358539	Pop1
PI369437	Mixed
PI369438	Pop5
PI369439	Mixed
PI369442	Pop5
PI369443	Pop5
PI369446	Mixed
PI391414	Pop5
PI391415	Pop3
PI391416	Pop3
PI391660	Pop5
PI391662	Mixed
PI391663	Mixed
PI391665	Mixed
PI391666	Mixed
PI391667	Pop5
PI391670	Mixed
PI391672	Pop3
PI391676	Pop3
PI391678	Mixed
PI391679	Pop3
PI391680	Mixed
PI391682	Pop3
PI405705	Mixed
PI405706	Mixed
PI405707	Mixed
PI405709	Mixed
PI405711	Mixed
PI405712	Mixed
PI405713	Mixed
PI405714	Mixed
PI406106	Pop5
PI406107	Pop5
PI406108	Pop5
PI406109	Pop5
PI406110	Pop5
PI406113	Pop2
PI406115	Mixed
PI406116	Mixed
PI406117	Mixed
PI406118	Mixed
PI406119	Mixed
PI406120	Mixed
PI406122	Pop5
PI406123	Pop5
PI406124	Mixed
PI406125	Pop2
PI406126	Pop2
PI406127	Pop2
PI406128	Pop5
PI406129	Mixed
PI406130	Mixed
PI415077	Mixed
PI415078	Mixed
PI415079	Mixed
PI415080	Mixed
PI415081	Mixed
PI415082	Mixed
PI415083	Mixed
PI415084	Mixed
PI415085	Mixed
PI415086	Mixed
PI415087	Mixed
PI415088	Mixed
PI415089	Pop1
PI415090	Pop1
PI415091	Mixed
PI427109	Mixed
PI427111	Mixed
PI433485	Mixed
PI433486	Mixed
PI433487	Pop1
PI433488	Mixed
PI452250	Pop3
PI459078	Mixed
PI459080	Mixed
PI459082	Pop3
PI506243	Pop3
PI506244	Pop3
PI506245	Pop3
PI506249	Mixed
PI506250	Pop3
PI506251	Pop3
PI506252	Mixed
PI506254	Mixed
PI506256	Mixed
PI506257	Mixed
PI506258	Mixed
PI506411	Pop1
PI506412	Pop1
PI506413	Pop1
PI508277	Mixed
PI509045	Mixed
PI509046	Mixed
PI509542	Mixed
PI510674	Mixed
PI511309	Pop2
PI511310	Pop2
PI511311	Pop2
PI511313	Mixed
PI511315	Mixed
PI511317	Mixed
PI511318	Mixed
PI511804	Mixed
PI511805	Pop5
PI517968	Mixed
PI517971	Mixed
PI517972	Pop5
PI517973	Mixed
PI518660	Mixed
PI520770	Pop5
PI520771	Mixed
PI520772	Mixed
PI522250	Mixed
PI522252	Mixed
PI524970	Pop5
PI527699	Pop5
PI527700	Pop5
PI531081	Mixed
PI531082	Mixed
PI531083	Pop5
PI531509	Mixed
PI531510	Mixed
PI531511	Mixed
PI533658	Mixed
PI533659	Pop5
PI535900	Mixed
PI535901	Mixed
PI535906	Mixed
PI535913	Pop1
PI535914	Mixed
PI535916	Pop5
PI535917	Mixed
PI535919	Mixed
PI535920	Pop5
PI535921	Pop1
PI535923	Mixed
PI535924	Mixed
PI535925	Mixed
PI535926	Pop5
PI535927	Mixed
PI536520	Pop3
PI537097	Pop2
PI537099	Pop2
PI537101	Pop5
PI538007	Pop5
PI538008	Mixed
PI538009	Pop2
PI538010	Pop2
PI538011	Pop2
PI538229	Pop2
PI538231	Pop5
PI538235	Mixed
PI538236	Pop5
PI538237	Mixed
PI538238	Pop5
PI538239	Mixed
PI538242	Pop5
PI538244	Pop2
PI539859	Mixed
PI539870	Pop5
PI539871	Pop5
PI539872	Mixed
PI539920	Pop5
PI539921	Pop5
PI539922	Pop2
PI539923	Pop2
PI539924	Pop2
PI539925	Pop2
PI539926	Pop2
PI539927	Pop2
PI539930	Mixed
PI540312	Mixed
PI540741	Pop3
PI540742	Pop3
PI540743	Mixed
PI540744	Pop3
PI540746	Pop3
PI540748	Pop3
PI540749	Mixed
PI540750	Pop3
PI540751	Mixed
PI542715	Pop4
PI542716	Pop4
PI542776	Pop4
PI542777	Pop4
PI542778	Pop4
PI542938	Mixed
PI542941	Mixed
PI542942	Mixed
PI542943	Mixed
PI542944	Mixed
PI542946	Mixed
PI542947	Mixed
PI542948	Mixed
PI542952	Mixed
PI542953	Mixed
PI542955	Mixed
PI542956	Mixed
PI542957	Mixed
PI542958	Mixed
PI542959	Pop5
PI543008	Mixed
PI543840	Mixed
PI543841	Pop5
PI543842	Pop5
PI543843	Mixed
PI543845	Pop2
PI543846	Pop5
PI543847	Mixed
PI543849	Pop2
PI543850	Mixed
PI544065	Pop5
PI546482	Mixed
PI546483	Pop2
PI546484	Pop5
PI546485	Pop2
PI546494	Mixed
PI547086	Pop5
PI547087	Pop5
PI547088	Pop2
PI547089	Pop5
PI547090	Pop5
PI547107	Pop5
PI548783	Pop2
PI548788	Mixed
PI548789	Mixed
PI548790	Mixed
PI548792	Mixed
PI548794	Pop5
PI548798	Pop5
PI548799	Pop5
PI548800	Mixed
PI548801	Pop5
PI548802	Mixed
PI548804	Pop5
PI548805	Pop5
PI548808	Pop5
PI548830	Pop5
PI548839	Pop5
PI550442	Mixed
PI550443	Mixed
PI550455	Mixed
PI550456	Pop2
PI550462	Pop2
PI550463	Pop5
PI550464	Pop5
PI550466	Pop5
PI550468	Pop5
PI550470	Pop5
PI550471	Mixed
PI550489	Mixed
PI550491	Pop5
PI550492	Pop1
PI550496	Mixed
PI550497	Mixed
PI550503	Mixed
PI550504	Mixed
PI550514	Mixed
PI550515	Pop5
PI550516	Mixed
PI550517	Mixed
PI550519	Mixed
PI550520	Mixed
PI550521	Pop5
PI550526	Mixed
PI550527	Mixed
PI550530	Mixed
PI550531	Mixed
PI550532	Mixed
PI550534	Pop3
PI550540	Mixed
PI550541	Mixed
PI550542	Mixed
PI550546	Pop3
PI550547	Pop3
PI550548	Pop3
PI550552	Mixed
PI550553	Mixed
PI550554	Mixed
PI550556	Mixed
PI550559	Mixed
PI550561	Pop5
PI550565	Pop2
PI550567	Mixed
PI550568	Pop5
PI550571	Pop1
PI550573	Mixed
PI550574	Mixed
PI550695	Pop5
PI550900	Pop3
PI550901	Pop3
PI550902	Pop3
PI550903	Pop3
PI550904	Pop3
PI550905	Pop3
PI550906	Pop3
PI550907	Pop3
PI550908	Pop3
PI550909	Pop3
PI550911	Pop3
PI550913	Pop3
PI550916	Pop3
PI550917	Pop3
PI550918	Mixed
PI550919	Pop3
PI550920	Pop3
PI550922	Pop3
PI550923	Pop3
PI550924	Pop3
PI550925	Pop3
PI552815	Pop5
PI553054	Pop1
PI553055	Mixed
PI553056	Mixed
PI553057	Pop5
PI553058	Pop4
PI553059	Mixed
PI553060	Pop4
PI553061	Mixed
PI553062	Mixed
PI553063	Mixed
PI553064	Mixed
PI554612	Pop2
PI554615	Pop5
PI554616	Pop5
PI555650	Pop5
PI555651	Pop5
PI555660	Pop5
PI556980	Mixed
PI558516	Mixed
PI558517	Mixed
PI558518	Mixed
PI558521	Mixed
PI558522	Pop5
PI558523	Mixed
PI558524	Pop5
PI558525	Mixed
PI558526	Mixed
PI558527	Pop5
PI558528	Mixed
PI558529	Mixed
PI558530	Mixed
PI558531	Mixed
PI558533	Pop3
PI558534	Pop3
PI559375	Pop2
PI559380	Mixed
PI559381	Pop2
PI559382	Pop2
PI559383	Pop2
PI559916	Pop2
PI559917	Mixed
PI559918	Pop5
PI559919	Mixed
PI559920	Pop5
PI559921	Mixed
PI559935	Pop5
PI559944	Pop2
PI559945	Mixed
PI559946	Pop5
PI559949	Mixed
PI559952	Pop5
PI559953	Mixed
PI559954	Pop2
PI560074	Pop2
PI560075	Pop2
PI560081	Pop5
PI560082	Pop5
PI560316	Pop2
PI561515	Mixed
PI561516	Mixed
PI561517	Mixed
PI561518	Mixed
PI561520	Mixed
PI561521	Mixed
PI561522	Mixed
PI561523	Mixed
PI561525	Mixed
PI561526	Mixed
PI561527	Mixed
PI561528	Mixed
PI561529	Mixed
PI561531	Mixed
PI561532	Mixed
PI561533	Mixed
PI561534	Mixed
PI561535	Mixed
PI561537	Mixed
PI561565	Pop5
PI561601	Pop3
PI561602	Pop3
PI561603	Pop3
PI561604	Pop3
PI561605	Pop3
PI561606	Pop3
PI561607	Pop3
PI561609	Pop3
PI561610	Pop3
PI561613	Pop3
PI561614	Pop3
PI561618	Pop3
PI561694	Pop5
PI561695	Mixed
PI564683	Mixed
PI564716	Mixed
PI564717	Mixed
PI564852	Mixed
PI567792	Mixed
PI567793	Mixed
PI567794	Mixed
PI568158	Pop5
PI568159	Pop5
PI568160	Pop2
PI572413	Pop5
PI583774	Pop5
PI583846	Pop5
PI583847	Pop2
PI584528	Pop5
PI584529	Pop5
PI586935	Pop3
PI587125	Mixed
PI587126	Pop5
PI587145	Pop2
PI587146	Mixed
PI587153	Mixed
PI587155	Pop5
PI591014	Mixed
PI591015	Mixed
PI591017	Mixed
PI591022	Mixed
PI592733	Pop5
PI592735	Pop2
PI592741	Mixed
PI593007	Pop2
PI593008	Mixed
PI593010	Pop3
PI593011	Mixed
PI593012	Mixed
PI593013	Pop2
PI593014	Pop5
PI593015	Pop3
PI593017	Mixed
PI593019	Mixed
PI593460	Mixed
PI594045	Pop5
PI594049	Pop5
PI594050	Mixed
PI594051	Mixed
PI594052	Mixed
PI594053	Mixed
PI594054	Mixed
PI594055	Mixed
PI594056	Mixed
PI594057	Mixed
PI594058	Mixed
PI594059	Mixed
PI594060	Mixed
PI594061	Mixed
PI594062	Mixed
PI594063	Mixed
PI594064	Mixed
PI594065	Mixed
PI594066	Mixed
PI594067	Mixed
PI594068	Mixed
PI594069	Mixed
PI594070	Mixed
PI594071	Mixed
PI594072	Mixed
PI594073	Mixed
PI594074	Mixed
PI594075	Mixed
PI594076	Pop5
PI594077	Pop5
PI594078	Pop5
PI594079	Pop5
PI594080	Pop5
PI594081	Pop5
PI594082	Mixed
PI594083	Mixed
PI594084	Mixed
PI594085	Mixed
PI594086	Mixed
PI594087	Mixed
PI594088	Mixed
PI594089	Mixed
PI594090	Mixed
PI594091	Mixed
PI595366	Mixed
PI595367	Pop5
PI595527	Pop3
PI595528	Pop3
PI595529	Pop3
PI595530	Pop3
PI595531	Pop3
PI595532	Pop3
PI595533	Pop3
PI595535	Pop3
PI595536	Pop3
PI595537	Pop3
PI595538	Pop3
PI595539	Pop3
PI595540	Pop3
PI595543	Pop3
PI595545	Pop3
PI595546	Pop3
PI595547	Pop3
PI595548	Pop3
PI595549	Pop3
PI595551	Pop3
PI595552	Pop3
PI595553	Pop3
PI595554	Pop3
PI595555	Pop3
PI595556	Pop3
PI595557	Pop3
PI595558	Pop3
PI595559	Pop3
PI595560	Pop3
PI595562	Pop3
PI595563	Pop3
PI595564	Pop3
PI595566	Pop3
PI595567	Pop3
PI595568	Pop3
PI595569	Pop3
PI595570	Pop3
PI595571	Pop3
PI595616	Mixed
PI596354	Pop5
PI596355	Pop5
PI596356	Pop2
PI596357	Pop2
PI596499	Mixed
PI596500	Mixed
PI596501	Mixed
PI596502	Mixed
PI596503	Mixed
PI596504	Mixed
PI596505	Mixed
PI596506	Mixed
PI596627	Mixed
PI596628	Mixed
PI596629	Mixed
PI597578	Mixed
PI597925	Pop5
PI597926	Mixed
PI600729	Pop2
PI600751	Pop5
PI600755	Pop2
PI600772	Mixed
PI600791	Pop5
PI600944	Pop5
PI600954	Pop2
PI600955	Pop5
PI600956	Pop5
PI600957	Pop2
PI600958	Pop2
PI600959	Pop2
PI600981	Pop2
PI601003	Mixed
PI601004	Pop2
PI601005	Pop5
PI601006	Mixed
PI601007	Mixed
PI601008	Pop5
PI601009	Mixed
PI601026	Pop2
PI601037	Mixed
PI601079	Pop5
PI601080	Pop5
PI601150	Mixed
PI601159	Pop2
PI601170	Pop5
PI601171	Mixed
PI601172	Mixed
PI601190	Pop5
PI601191	Pop2
PI601208	Pop5
PI601209	Pop5
PI601210	Pop2
PI601211	Pop2
PI601229	Pop5
PI601230	Mixed
PI601269	Pop5
PI601270	Pop5
PI601300	Mixed
PI601301	Pop2
PI601316	Pop5
PI601317	Pop5
PI601318	Pop5
PI601319	Pop5
PI601320	Pop5
PI601321	Pop5
PI601322	Pop5
PI601323	Mixed
PI601324	Mixed
PI601329	Mixed
PI601331	Mixed
PI601332	Mixed
PI601360	Pop5
PI601361	Pop5
PI601362	Pop2
PI601374	Pop2
PI601375	Mixed
PI601376	Mixed
PI601377	Pop2
PI601378	Pop2
PI601402	Pop2
PI601403	Pop5
PI601404	Pop5
PI601405	Pop5
PI601416	Pop5
PI601417	Pop2
PI601430	Mixed
PI601438	Pop5
PI601439	Mixed
PI601440	Pop5
PI601441	Pop2
PI601442	Pop2
PI601457	Pop5
PI601458	Pop5
PI601459	Pop5
PI601466	Pop5
PI601467	Mixed
PI601468	Pop2
PI601469	Pop5
PI601470	Pop5
PI601489	Pop5
PI601490	Pop5
PI601491	Pop2
PI601492	Pop2
PI601493	Pop2
PI601494	Pop5
PI601495	Pop5
PI601496	Pop5
PI601497	Pop5
PI601498	Mixed
PI601499	Pop5
PI601500	Mixed
PI601501	Pop5
PI601502	Pop2
PI601558	Pop5
PI601559	Pop2
PI601560	Pop5
PI601561	Pop5
PI601562	Pop5
PI601563	Pop2
PI601564	Mixed
PI601565	Pop5
PI601566	Pop5
PI601567	Pop5
PI601568	Pop5
PI601569	Pop5
PI601570	Pop5
PI601571	Pop5
PI601572	Mixed
PI601573	Pop2
PI601574	Pop5
PI601575	Pop2
PI601576	Pop5
PI601583	Mixed
PI601584	Pop5
PI601610	Mixed
PI601611	Pop2
PI601612	Pop5
PI601658	Mixed
PI601683	Pop2
PI601684	Pop5
PI601685	Pop5
PI601686	Pop5
PI601689	Mixed
PI601724	Pop5
PI601725	Pop5
PI601726	Pop5
PI601727	Pop5
PI601728	Pop5
PI601729	Pop2
PI601745	Pop2
PI601773	Mixed
PI601774	Pop5
PI601775	Mixed
PI601776	Pop5
PI601777	Pop2
PI601778	Mixed
PI601779	Mixed
PI601780	Mixed
PI601781	Pop5
PI601782	Pop5
PI601783	Pop5
PI601784	Pop5
PI601785	Mixed
PI601786	Pop5
PI601787	Pop5
PI601788	Pop5
PI601789	Mixed
PI601790	Mixed
PI601791	Mixed
PI601792	Pop5
PI601808	Pop2
PI603939	Pop5
PI604605	Mixed
PI604606	Mixed
PI606330	Pop5
PI606769	Pop5
PI607381	Mixed
PI607382	Mixed
PI607383	Mixed
PI607384	Pop5
PI607519	Mixed
PI607522	Mixed
PI607523	Mixed
PI607524	Pop2
PI607525	Pop2
PI607527	Pop5
PI608764	Pop5
PI608768	Pop5
PI608777	Pop5
PI608778	Pop5
PI608806	Pop3
PI610493	Mixed
PI610494	Mixed
PI613179	Pop5
PI614142	Mixed
PI614819	Pop3
PI614820	Pop3
PI619429	Pop3
PI619430	Pop3
PI619431	Mixed
PI631393	Mixed
PI631394	Mixed
PI631444	Mixed
PI632413	Mixed
PI632746	Pop5
PI633727	Mixed
PI633728	Mixed
PI633839	Mixed
PI633840	Pop2
PI633844	Mixed
PI633924	Mixed
PI634206	Mixed
PI634207	Mixed
PI634211	Pop5
PI634212	Pop5
PI634213	Mixed
PI634214	Pop5
PI634215	Mixed
PI635122	Pop3
PI635123	Pop3
PI635124	Pop3
PI635125	Pop3
PI635126	Pop3
PI635127	Pop3
PI635128	Pop3
PI635129	Pop3
PI635130	Pop3
PI635131	Pop3
PI635132	Pop3
PI635133	Pop3
PI635134	Pop3
PI635135	Pop3
PI635136	Pop3
PI635137	Pop3
PI635138	Pop3
PI635139	Pop3
PI635140	Pop3
PI635141	Pop3
PI638549	Pop2
PI638550	Mixed
PI638551	Pop5
PI638552	Pop5
PI638553	Mixed
PI638594	Pop5
PI639037	Mixed
PI639038	Mixed
PI639039	Mixed
PI639040	Mixed
PI639041	Mixed
PI639042	Mixed
PI639044	Mixed
PI639045	Mixed
PI639046	Mixed
PI639048	Mixed
PI639049	Mixed
PI639050	Pop2
PI639052	Mixed
PI639053	Mixed
PI639055	Mixed
PI639056	Mixed
PI639111	Pop5
PI639497	Pop5
PI639498	Mixed
PI639499	Mixed
PI639500	Mixed
PI639501	Mixed
PI639502	Mixed
PI639503	Mixed
PI639504	Mixed
PI639505	Pop5
PI639925	Pop3
PI639926	Pop3
PI639927	Pop3
PI639928	Pop3
PI639929	Pop3
PI639930	Pop3
PI639931	Pop3
PI639932	Pop3
PI639933	Pop3
PI639934	Pop3
PI639935	Pop3
PI639936	Pop3
PI639937	Pop3
PI639938	Pop3
PI639939	Pop3
PI639940	Pop3
PI639941	Pop3
PI639942	Pop3
PI639943	Pop3
PI639944	Pop3
PI639945	Pop3
PI639946	Pop3
PI639947	Pop3
PI639948	Pop3
PI639949	Pop3
PI639950	Pop3
PI641061	Pop3
PI641062	Pop3
PI641063	Pop3
PI641064	Pop3
PI641065	Pop3
PI641066	Pop3
PI641067	Pop3
PI641068	Pop3
PI641069	Pop3
PI641070	Pop3
PI641071	Pop3
PI641072	Pop3
PI641073	Pop3
PI641074	Pop3
PI641075	Pop3
PI641076	Pop3
PI641224	Pop3
PI641225	Pop3
PI641226	Mixed
PI641229	Pop2
PI641230	Pop3
PI641232	Mixed
PI641234	Pop3
PI641238	Mixed
PI641242	Pop5
PI641243	Mixed
PI641244	Pop3
PI641245	Pop3
PI641246	Pop3
PI641247	Pop3
PI641248	Pop3
PI641249	Pop3
PI641251	Pop3
PI641252	Pop3
PI641253	Pop3
PI641254	Pop3
PI641255	Pop3
PI641256	Pop3
PI641257	Pop3
PI641258	Pop3
PI641259	Pop3
PI641260	Pop3
PI641261	Pop3
PI641262	Pop3
PI641263	Pop3
PI641264	Pop3
PI641265	Pop3
PI641266	Pop3
PI641711	Pop3
PI642762	Mixed
PI642763	Mixed
PI642764	Mixed
PI642765	Mixed
PI642767	Mixed
PI643420	Mixed
PI644099	Pop1
