Gen	20KernelWeight	CobDiameter	CobWeight	DaystoSilk	DaysToTassel	EarDiameter	EarHeight	EarLength	EarRankNumber	EarRowNumber	EarWeight	GDDAnthesis-SilkingInterval	GDDDaystoSilk	GDDDaystoTassel	GerminationCount	LeafLength	LeafWidth	MainSpikeLength	MiddleLeafAngle	NIROil	NIRProtein	NIRStarch	PlantHeight	SecondaryBranchNumber	SeedSetLength	SouthernLeafBlight	Spikelets-MainSpike	Spikelets-PrimaryBranch	StandCount	TasselBranchLength	TasselLength	TasselPrimaryBranches	TilleringIndex	TotalKernelVolume	UpperLeafAngle	TotalKernelWeight
482	4.542345548	25.37017843	15.39706905	82.64128565	81.31451696	36.20240645	70.56374629	139.0803276	20.65560474	13.63140975	63.37507872	21.59630554	961.1710567	946.8750091	6.99238971	765.7190748	79.59377277	231.271821	61.62327433	3.753878049	14.09823656	66.62083543	142.4922459	1.486766415	112.8325291	6.810200802	23.6197881	16.62922377	7.791475077	202.5286213	304.5305238	8.162676883	0.565704863	61.03260304	51.17052254	47.76061048
483	4.615339974	25.19988663	15.90202564	70.90370796	69.54834757	36.79903711	67.35471988	130.9241372	20.63900757	13.88190111	66.49402528	25.4183558	842.919395	815.8474812	7.779485736	718.0019314	74.3567726	221.7843704	58.6265922	4.047321227	14.43692184	66.0089973	132.9276628	1.369798194	113.5060187	5.596435633	24.8651885	15.9143949	7.779852189	190.4737525	293.8655584	7.358886936	0.559570796	61.06767263	34.8957319	50.06132597
484	4.414021491	25.77057541	15.13940583	82.44248008	81.05174792	36.14241072	68.07175464	122.9238479	20.61250284	13.03986897	58.81165248	23.27255576	959.2324754	944.6704618	6.110261677	762.2096125	84.78862096	223.9475994	61.29711196	4.534900488	14.29721781	65.8569505	137.1165705	2.230235519	108.0999043	6.758821749	22.58100128	14.83622553	7.554067263	200.7062741	322.4502467	12.59630219	0.588778084	59.68894013	59.9931807	44.44618468
485	4.49859504	25.41407238	16.37723679	81.21431474	79.89675685	37.02967696	69.43410107	125.4520241	21.14298159	13.37536225	65.38597768	22.1379291	955.01866	944.024079	6.51443513	748.0858014	94.49122865	229.2214034	64.61138521	4.4913866	13.95627968	66.90541112	138.2911877	2.422644545	109.843729	6.931079085	23.24656387	15.25780924	7.58589259	208.5140739	338.5079992	14.48509404	0.580511804	60.2502054	61.00318455	49.41399211
486	4.782712975	25.818491	17.20188243	76.27728409	74.33872772	38.20530449	61.53839997	132.6796509	21.38161981	14.359602	72.74903313	26.10447078	904.7250708	877.5942611	6.92162978	716.3313368	83.76331687	213.9887028	60.41406769	4.15386363	14.29348259	66.77664862	135.7351835	1.644594361	115.0800655	6.245316766	25.18377352	15.66099765	7.638402593	193.7134575	307.6326698	9.531533097	0.577787659	62.60966568	55.49235219	56.16190694
487	4.445991323	24.3867033	14.75001498	68.13256408	67.15501919	35.06274414	47.87811688	118.3780854	20.79953746	12.78466511	58.61473897	19.54515476	785.6988299	769.5061465	6.872308011	610.7157923	75.49001438	233.7091198	53.79132899	4.283567398	14.44560475	66.54585343	116.9112218	1.023766746	105.8910568	5.585485598	23.43750338	15.54044014	7.586199597	186.2116955	305.7059348	7.450582698	0.565837785	59.69600024	43.85706979	45.35426107
488	4.885258908	26.12931773	17.48741859	69.0962541	66.8947519	37.89271928	57.18842172	134.8357823	20.8696544	13.80703579	73.9722865	28.76690527	820.0094865	776.9371887	6.756888316	661.8710119	76.41397396	234.8956661	58.54082528	3.835843021	14.26147825	65.91927617	127.0975431	1.229212868	116.6563438	6.364979634	23.45909199	15.6502278	7.660368027	187.5993948	300.0929694	5.765690867	0.566914038	62.35905771	41.46214777	55.37816635
489	4.57499022	26.36137981	16.1898369	88.29640739	87.20537135	37.45497708	79.17892011	123.8091841	20.55307492	13.40495653	62.7314238	21.53516526	1028.521345	1024.264767	5.970469256	832.6672152	91.42748056	231.0600238	65.81904663	4.518381524	13.94068057	66.17701437	150.1914364	2.790110006	108.6054325	7.47777883	22.49647086	14.62280925	7.57979667	219.2222285	341.3214102	13.9025936	0.590364929	60.2260783	64.89092294	47.12216661
490	4.159563231	26.75563286	16.9945269	66.2035321	64.50893964	37.38312878	58.06560809	117.7324313	20.12011423	14.12744072	61.81072298	22.74853066	760.0734522	729.4908985	7.342966729	613.2066245	85.45772239	224.2314871	56.06283596	4.740318275	15.02315272	66.48083267	127.6701759	0.845245742	104.5748453	6.432635774	23.79113828	15.9759771	7.629031646	166.3730131	292.0631852	6.187245317	0.555684336	57.54724657	52.7260582	45.27935178
491	5.02654449	26.95570717	19.5237086	74.95277839	73.58562479	39.12229919	61.7717339	142.6524756	21.41337701	14.39913406	79.09107552	22.65888969	878.5530373	862.1697781	6.656423078	725.1325116	89.11467449	264.114931	65.30777133	4.275677439	13.91314631	66.98976773	131.8321061	1.340221756	119.7927559	6.497921722	23.40972005	15.53511486	7.529564791	198.0418673	346.7764695	9.404361999	0.556330158	63.52709013	59.39390803	59.94423473
492	4.454202315	26.63194815	16.44117251	77.49992817	76.19253329	38.48425164	67.0774914	127.2437739	21.63047558	14.81164298	70.79600368	21.304715	916.896996	896.4271249	7.012693202	743.3404981	84.40663567	216.6672428	63.0319926	4.088369581	13.854337	67.70159275	142.5872559	1.575684416	109.1451436	6.665257388	23.78729328	14.53902391	7.717062041	187.0287098	305.6740918	8.819700363	0.579489958	62.1058272	67.49890951	54.65060449
