Gen	EarHeight	PlantHeight	MiddleLeafAngle	UpperLeafAngle
1	66.69918749610633	135.10743125018243	52.13869243848251	50.713169723007546
2	99.49426916789753	182.14629223313858	62.70372007436091	58.953454520519706
3	78.13375913680214	157.59012079140467	60.35735771620065	52.04496694435277
4	100.55268513621569	185.25882342623638	62.78232346842252	58.09894629652462
5	73.3169839457858	169.49719169440579	66.58708100164353	59.087846068875066
6	108.4619189734291	192.14594608218175	64.37711999695651	61.57700497644474
7	87.87542809805132	168.45473240544527	64.11100383857384	59.004346697148904
8	106.94934395609292	189.20089942899702	64.37631151857214	61.22313705041573
9	91.63563881995056	173.79125349330815	59.922247047289076	71.86930039642792
10	89.79462486218706	172.01756983383726	63.00176397817356	58.06827997816291
11	110.49546570964408	193.54627216399905	63.32518009717135	61.73674332152873
12	83.26484513911173	165.37035240622308	63.063722536185544	56.07958728979274
13	89.22679868696477	169.572320608236	60.73856524005658	56.17839823284706
14	116.28228789814284	200.84012555649275	66.68979230618066	67.68594739072903
15	77.01110697891706	171.725980693434	69.38407205923416	59.533411297356444
16	70.08060829952096	156.32000871291913	57.367653972657934	51.49356556442039
17	92.68445102209816	175.6335311771854	65.94787100967372	59.437787760816306
18	108.81047967714781	191.2324711353644	63.56322766378082	61.19557239181074
19	60.59230662103617	141.34790071601577	39.36953725667958	45.49549125453977
20	86.39842766602919	179.85840750423532	63.26020170356164	60.69527919473511
21	66.23945112256419	145.16572094311823	64.56963555222259	39.93212787489055
22	78.56699234788793	162.49429430477824	63.38611655543933	59.39606935545199
23	81.66029746430225	162.59558198565887	58.84159602908128	52.09143787042856
24	114.4085031220401	201.14235520072899	61.32302956193629	61.66712056160687
25	113.08743936094527	197.85434273999817	62.788594500818526	61.58604469009408
26	72.52157799950908	152.8239546840163	59.45443846843829	54.708598458144884
27	107.33127577621931	189.90614408331516	65.38690083498282	61.587307217810356
28	85.44460977030688	169.5481682569833	61.96897228782519	56.60820513472621
29	73.16534694696058	162.77493467901016	59.192588321148286	53.38810975804783
30	85.20520651989082	167.57425818704738	62.11887470098477	60.735138758753614
31	105.05978983893942	187.37842332680745	64.12767283234474	60.62617138579554
32	100.33866901651594	178.97608116956232	55.41090919460967	47.0025649037011
33	86.71375504579383	180.2703003592206	68.88023039616667	69.57660065686908
34	106.27125558490569	187.67444416244786	63.09987305034579	61.13525560943632
35	89.93710265582216	176.9731750133536	61.023071154889976	72.64975108391671
36	107.015821322074	189.4175452556249	64.44931547022568	61.90605840532755
37	82.80859090091266	167.54981475944697	59.08788888002966	55.260545822146746
38	72.40971432387235	158.47571126982174	58.645583399287055	53.41697561576072
39	109.68089491522313	190.52541270588094	63.237128632276466	59.9512581041706
40	77.94549203769361	156.76258096943306	58.303712412025135	52.79845947064024
41	82.19987641567549	171.7892242430765	61.90712942932591	63.56744031594433
42	68.93175132790873	157.04341514467174	68.60539714464922	68.37417614583886
43	83.01172143445103	170.29911512449453	61.377030700902615	67.68529489235121
44	94.24131213908176	177.3448178734888	60.81421523304697	57.79916622863928
45	82.63419073779585	165.04773912757187	61.38560943723824	60.224852162366986
46	87.2214752174853	172.71483434544928	64.65417437498596	67.66017464970875
47	83.97715801690597	163.35749540412922	60.757827249901354	51.64003574089539
48	77.61944875988193	154.3449558973081	56.91138790669193	55.516330579474165
49	106.95831817092096	189.097888229531	63.640842880335	61.789871710833594
50	80.82735480872864	163.38801930532767	60.7259086559942	61.12307440123443
51	105.92734196725682	187.5032996330262	64.61259505952809	61.77127623718913
52	67.46450746493943	142.42436200474825	58.16453088030193	54.148551342824646
53	107.41808176036979	188.74449709890754	63.02350081402468	62.34955362307467
54	102.72429913407342	187.80538068281885	62.82150897530269	60.23444730311621
55	106.60749913378478	190.3765159274374	63.610155014410786	59.78608988202611
56	55.29998410342402	150.86071482999353	52.1664266730712	48.35225423939724
57	86.9280771059904	174.40956483067563	64.33974431213349	73.80469859962318
58	79.09066796235561	163.19719376853965	61.70297537639786	57.23246466050095
59	103.64297793415997	185.87018785173441	62.92257224882286	60.577327249964014
60	65.74103041325188	139.92410857131694	60.915569436322805	53.04487022233673
61	78.27541742823108	168.223209346775	63.21905815576568	56.77248066078876
62	76.60130150660076	159.35286252651179	62.28496250044631	54.308515460007754
63	100.23816871355854	183.72225123015005	63.35526480455897	58.529113907440234
64	100.40039640836281	179.16057374865895	66.66340333968283	59.48432139991906
65	93.72805112926567	178.29410310454045	63.80611287740323	58.38425866085692
66	105.46407506181819	188.81846507739402	64.0851644734401	61.6967572592005
67	80.6937317686916	159.97366701757875	63.81263329319094	55.098989588587
68	106.22091281322784	188.51403395599866	64.1798631577665	63.91868030525327
69	92.16813931278567	173.70666113885483	64.62978349390154	60.89690514767481
70	67.68008733763658	145.1101288982343	63.79142987164073	55.51579647545533
71	77.20834101112462	162.70211397585643	58.40807752064782	53.49905034746977
72	104.49249233848391	184.10330061757816	63.889913469385306	59.17204058910692
73	69.17036263387607	150.7962805313127	56.86107039551548	50.17066885814901
74	107.64227781790252	190.31980101242914	63.665651469063	61.24322451847049
75	99.63943721092207	180.1157753585767	61.29249852179495	58.31208626507711
76	84.35136576156668	163.23498654195384	62.45211428248279	57.28197170194604
77	91.65882556420976	173.19666216371436	61.33147638156352	60.93548190567785
78	83.1625560071964	164.66495118465696	62.60957611743007	60.25618767117715
79	84.83011028734622	169.01562261435464	62.64327426255115	58.24309190628099
80	87.97659157887857	167.49872735551864	61.96246276711847	58.598474510415194
81	82.90690137806088	163.67656294293278	62.43283487726883	59.80470573236893
82	70.26214170090998	164.32342141148712	60.810434212022315	60.082700777006124
83	80.73416387603325	171.5737826356496	58.846810706840195	55.53633342160835
84	82.9635747713933	164.24369871555007	63.23267706355564	56.46345672465207
85	102.99325595507825	182.40099611581047	60.97279525420481	57.515655500331256
86	84.10817655157062	161.51088039980084	62.39320932196305	57.122507680565406
87	108.94391152880971	191.9271322338345	62.65637753895896	61.10839236451787
88	66.60018614872516	141.72326536586908	59.726767924015206	51.634580166717896
89	101.49057105906961	185.88703981809348	64.5568233251665	61.549918922640664
90	64.93973981387299	139.56706952197345	57.81969061467904	52.11336115133138
91	104.62620997135437	188.01002047193944	63.439271356452664	60.186758040142465
92	72.20696933130182	168.12688224818905	61.17974438860739	56.184682392900456
93	77.750757705285	155.0993359864333	62.500952445339415	58.2568271440155
94	105.77400669200274	187.41470275083344	68.13468931267246	64.61375481674479
95	85.94056122668779	164.2012619630659	60.19449313557684	55.41487796411892
96	64.22008495380938	133.97656753527912	62.33764436751126	52.829307630984076
97	82.84543562630897	166.15870037362473	63.64132616252612	65.23397073322107
98	72.08504379685354	152.9772773627901	53.44505433092043	50.57308804582998
99	109.54409272821091	194.88017918306292	61.94889460596154	59.908214513230604
100	109.40255885190774	192.05117871939672	65.45772096890232	61.62090604862195
101	85.76695860624599	167.40417141625016	61.58411402155193	54.569333409595416
102	83.64128784247596	168.90299893533103	60.10199624427896	53.42862454993012
103	99.38334335609422	178.42078402326015	62.7742503123932	58.78797292684122
104	73.42062207009724	156.60359407834503	58.23114676872605	52.29959389686269
105	99.38775567554913	183.55743002798945	66.12451980394896	60.361472300130416
106	89.75371118794726	163.91377873769557	63.18864483652156	57.76495914634241
107	110.94511355885138	194.49954329686372	64.25949483058915	61.82596812156003
108	109.1717854343641	193.70340623994167	63.29737035581292	62.01153271169759
109	104.69513800882243	185.69657053060112	62.67939981451865	59.92632790058697
110	90.01166255535202	164.919773852241	61.98858614040294	59.03780657541033
111	107.57315481787873	189.78667144821074	63.996789071581226	60.91232057967836
112	105.28656047684404	184.0042917305554	65.75179510437628	62.096058537380785
113	80.80209738966788	163.64938418377747	61.99364424532483	51.50409878255232
114	73.90768479465527	164.31104468361983	60.23112583604038	72.38062535761587
115	97.67527172134406	176.6323577342696	62.71209371531012	59.82211479337177
116	95.64757897720848	178.59395739070763	65.25674906002759	59.78367420167801
117	68.5494544793813	146.00959085668953	55.28541572662366	43.58156097573406
118	64.15940689929471	149.44340554112588	57.23980446367947	49.55701574328036
119	79.45521017318327	166.40127223584327	61.04412579706013	46.985630159128426
120	104.43169166586901	186.86178054433526	64.25035564114823	60.59731019437269
121	96.8683950759928	183.0918063156982	66.095044851017	58.40147929753206
122	85.95693770215692	169.0400006787862	62.91052887801282	58.12738767938696
123	81.23896832347043	176.47194229270494	64.52216940106187	60.16499985055658
124	88.0190716650156	170.86735715569523	62.78159270719495	57.89704183396344
125	96.05916484723946	181.85606666601174	63.30722867939315	61.17504628479907
126	72.99345441961687	140.16696081299804	61.63634016950497	56.988340217729174
127	56.67519205571756	128.5796620558688	62.33625955174178	49.79151782549357
128	101.56964785086096	185.26879935268718	66.19997029041629	62.545933377095466
129	76.55545572965656	160.998663165221	63.21888036524784	57.5752115904506
130	108.68501790112163	191.2154401361219	62.32956440267246	61.36952576635047
131	83.41156124240977	167.58040079252254	60.65285519576298	63.57652672527001
132	92.21325081162668	172.37197026607453	62.419423350814576	58.00394692135325
133	72.55933404012359	156.1483913149714	60.43082674374087	52.72613360015386
134	81.41382296061606	161.98343913174426	61.070825752166115	55.04359525450871
135	65.74907965287545	143.55403986425765	60.32406582381972	54.806135631800416
136	105.34869226792912	186.00725874547595	63.205735503514006	61.45537934165124
137	103.6866052062728	185.00536556202593	63.96846809043514	60.29678988853144
138	81.17372759813675	171.25229405600433	66.45798195116805	60.9202115656709
139	106.56930342265761	189.419220722093	63.45798453152238	60.68811445239032
140	85.98522244454091	167.83489855619365	61.787425968026625	55.60872002970498
141	89.23576430891612	172.8318375595598	62.09670784888896	57.86695230765651
142	57.27359908134545	127.16397074591333	58.633779912633855	51.67604875831724
143	87.36759439631633	173.51751203418743	60.74057844814021	73.13818757098196
144	75.58180696663159	151.8649942783824	59.05167394886449	43.41451119977485
145	108.62470568644123	193.5988742468171	64.79481348060557	61.64536915003272
146	73.07486263827924	161.95830142233677	57.28659391131501	45.30760668682323
147	87.71851287386681	178.03205237469192	62.96416002822399	61.44323936589177
148	70.25085893838875	146.62437243605194	54.94144689128598	47.32539059842255
149	53.39135208512786	130.5257586079224	56.23384065713429	43.80170315691777
150	56.14223065203801	131.07554054049973	58.95620466329145	48.63113411156547
151	74.69037000841357	157.36652618936162	64.0643560060286	56.92620769072497
152	72.61803383027254	162.32196661702895	60.072459264269646	45.0309975804105
153	87.67315781910486	169.65572274205218	61.907564778670206	58.35334538269888
154	83.66911036317505	169.08279139805387	62.27377839632075	56.74366921266794
155	92.09605257803611	171.7824004739642	62.67671266200895	58.21727821947283
156	87.94748043312386	169.26856184274465	62.74562027918886	56.07081486224279
157	109.74353523048015	192.51699951066414	62.46842849518833	60.72478696869728
158	68.9352690399987	152.85984860345928	54.82631753895386	47.92104262006043
159	84.5469522565812	164.64925593736243	59.981715437328795	49.986149767836814
160	68.87584990737017	147.1862302156932	63.99506518873856	41.92267620561569
161	107.77293907842756	189.37276906381254	63.81828339710213	60.56379372299566
162	78.01647189281908	159.93707961388597	54.87947857266695	51.95013943698653
163	80.8874483798833	157.98751986820122	57.026472522246635	46.25373226127055
164	107.81224275355109	191.6777282993349	61.97045360965742	60.182855031532625
165	84.95217381244434	173.06811575743768	61.475690469898105	67.45479153638613
166	63.136137738419116	136.51274841911197	41.72190201497907	32.83373506202942
167	104.86459519322997	184.4106948785869	62.29779689673486	60.65484367578644
168	100.78477685047861	184.8749275717068	64.90913503074748	61.10160454404919
169	81.56213211088264	163.79687129952225	58.441132458245264	51.786550132910094
170	100.28316868500805	185.8634800504142	64.51412203194046	61.461236420584925
171	70.13142670125299	164.50786602533117	60.46205719422019	59.93684528599729
172	91.0183991893887	167.12840196590744	61.6453367398739	59.02114660160727
173	71.19195649431407	147.45544751417796	55.37711499318311	50.392456211703326
174	82.0900889791714	163.14402346590515	63.667017083881674	60.63065122326703
175	88.27651218769081	174.89529440053556	63.172940038659476	72.5418692913397
176	85.33353666866861	162.5490084167454	63.43363850643141	53.77034800810482
177	70.58172791701439	153.94776273421698	57.29143298857881	42.41302055961667
178	81.95609546674373	160.58210380144837	65.32793197954375	58.824671095199065
179	77.92889067977916	175.53708767003675	64.77480061963507	64.31795618341768
180	75.62135770780958	153.9972024472679	58.598150119400316	52.04684823645302
181	107.3729918700137	189.24858349474303	62.8927051739691	62.43778534393547
182	66.75583752888392	143.59241077334636	58.34528722105005	52.34740900677484
183	76.39475225361466	160.68597215727507	59.512929310827744	55.22696274000296
184	91.42131033725818	173.9965418072772	62.012940908826124	58.55297820073837
185	73.13555491545675	150.82677543770106	57.23136025432185	47.62465834752395
186	55.05740005365796	129.25617334155834	64.89283249273946	55.51786116127332
187	72.39023057730027	142.9426687062704	63.7950181268509	55.294926737154555
188	76.01192184803949	157.92789404363384	57.406535215685395	52.251416736537514
189	76.97294054555792	153.39423784495474	57.77688392452397	48.42642043930674
190	43.49989586904622	129.50002369497506	57.08304508412156	58.66789867386703
191	89.12370699616363	181.95107340433668	68.4444129600929	67.60949835713102
192	108.30985945775083	192.58126249882622	63.80050773440752	61.08412186599402
193	106.68001978576689	190.45708579572977	63.30857798906723	60.80006111570983
194	73.92209107414392	156.26065044917948	58.230634776667166	52.99194813878613
195	67.44228211918538	144.52871484732515	57.79474200013783	45.267839664995805
196	79.012686438887755	162.21354036599806	51.16842094169358	49.7900063741061
197	95.39078654363546	177.33095092718042	61.6624857105891	57.165500851161
198	92.38388855892134	172.98647729643972	61.14025029501175	53.06499333110169
199	111.28940691914838	195.42603592495374	63.08999600061614	62.19217762814723
200	105.13011563288757	187.16572264009943	63.23734177652453	60.448317657101946
201	67.48869799169738	148.7474090760797	56.98943794004661	48.9813062796852
202	107.86836597450085	189.44118129208147	64.4766112381519	61.968648204788764
203	72.90731872557882	147.34350149249875	52.71106016934418	45.645770963870135
204	70.72532063691386	148.4861562599291	56.50571446616267	51.78598521193798
205	104.83924746814188	185.90517148906662	63.16062428747198	61.70414751097669
206	79.8955576541947	152.6525865378171	60.884707921667996	51.02781818252234
207	110.0360625193421	193.09501004741279	63.30110753925447	60.27866489282018
208	108.00623073206773	190.34821516012858	62.40152239808265	61.029131659439095
209	106.56002404931537	190.18081418858486	66.04266669048556	63.07940484077236
210	62.340706418781906	164.3631430974233	60.82260730193993	52.025846662698456
211	92.42551005978733	176.07785633442674	64.56090924171687	59.23573105983554
212	109.79075527838359	191.31414530849622	63.19215779648569	61.48236252403735
213	86.10245582089763	158.8240631550141	55.77163823748462	49.19900871153445
214	91.55377719479964	177.5530192504439	65.41724731663543	60.13731676795693
215	110.429379666268	194.0292104518107	63.38499760181298	62.432653306212174
216	79.8013220712006	155.17811367808503	62.54905836280947	51.29071809133399
217	111.76871688812882	195.12302302368295	60.99362001080012	60.91973846137756
218	72.79906771799422	174.9776192941602	67.54063655773781	60.65458144272764
219	105.60089734361691	187.81282185284576	63.38161923863962	60.75887470686822
220	85.74430823740555	175.4290660698435	63.28568723419909	67.92840367435232
221	108.37150348376187	192.3641745547023	62.34425330922465	61.223705794588845
222	79.43982318733686	171.66470352121118	60.35907198652062	48.80133245731229
223	84.3544679369222	174.60608176544372	67.338322685611	68.11545782984437
224	89.96529531872807	174.9480058184068	60.71693420403246	74.27671874266952
225	104.65217510045989	186.86395896137364	63.82388482658103	61.84266598549121
